iter	Logloss
166	0.6769822405
167	0.6769522342
168	0.6768255891
169	0.6767738088
170	0.6767188899
171	0.6766660923
172	0.6765635756
173	0.6765310179
174	0.6764519465
175	0.6763704595
176	0.6762610945
177	0.6762064543
178	0.6761527786
179	0.6760359957
180	0.6759558154
181	0.6758790219
182	0.6758039485
183	0.6757084983
184	0.6756701615
185	0.6756071081
186	0.6755175109
187	0.6754066697
188	0.6753202309
189	0.6752668862
190	0.6751680637
191	0.6751030709
192	0.67502298
193	0.6749663015
194	0.6749045105
195	0.6748372874
196	0.6747141664
197	0.6746194444
198	0.6745148798
199	0.674494809
200	0.6744125383
201	0.6743799704
202	0.6742786139
203	0.6741640482
204	0.6740552578
205	0.6739935321
206	0.6739372152
207	0.6738087524
208	0.6737784421
209	0.6736612978
210	0.6735677008
211	0.6735299559
212	0.6734909078
213	0.6733483352
214	0.6732725928
215	0.6731899915
216	0.6731309274
217	0.6730647971
218	0.6730527203
219	0.6729611863
220	0.6728776966
221	0.672842776
222	0.6727622392
223	0.6726578142
224	0.6726114648
225	0.6725353307
226	0.672466101
227	0.6723843864
228	0.6723313218
229	0.6722615335
230	0.6721436864
231	0.6721123428
232	0.6720671864
233	0.6719732679
234	0.6719137431
235	0.6718691244
236	0.6717769289
237	0.6717225259
238	0.6716787629
239	0.671623378
240	0.6715137542
241	0.6714330873
242	0.6713309853
243	0.6712561742
244	0.6711369026
245	0.671086439
246	0.670995448
247	0.6709190185
248	0.670758837
249	0.6706361888
250	0.6705412786
251	0.6704989035
252	0.670452251
253	0.6703549262
254	0.670254866
255	0.6702277722
256	0.6701860294
257	0.6700798472
258	0.6699296947
259	0.6697954887
260	0.6697055421
261	0.6696102026
262	0.6695631977
263	0.6694252255
264	0.6693866266
265	0.6693258076
266	0.6692310429
267	0.6691183289
268	0.6690711868
269	0.6689470916
270	0.6688719742
271	0.6687445502
272	0.6687127302
273	0.6685673475
274	0.6685089879
275	0.6684222117
276	0.6683772635
277	0.6682796375
278	0.6682070659
279	0.6680728616
280	0.6680162763
281	0.6679141824
282	0.6677899586
283	0.6677488551
284	0.6675842793
285	0.6675032248
286	0.6673986155
287	0.6673092209
288	0.6671890429
289	0.667133329
290	0.6670058793
291	0.6669385559
292	0.6668349333
293	0.6667331451
294	0.666662984
295	0.6665428039
296	0.6664386968
297	0.6663620206
298	0.6662613411
299	0.666208375
300	0.6661331725
301	0.6660547345
302	0.6659805417
303	0.665871905
304	0.6657824421
305	0.6656616788
306	0.6655917254
307	0.6655351137
308	0.6653885599
309	0.665289562
310	0.6651840332
311	0.6650915621
312	0.6650184528
313	0.6648561472
314	0.664670798
315	0.6645454422
316	0.6644851479
317	0.6644008868
318	0.6643454904
319	0.664250025
320	0.6641775339
321	0.6640684489
322	0.6640004369
323	0.6639435639
324	0.6638104438
325	0.6637664974
326	0.6636119788
327	0.6635047445
328	0.6633557779
329	0.6632208265
330	0.6631413629
331	0.6630333478
332	0.6629774308
333	0.6629346292
334	0.6627649941
335	0.6626424519
336	0.6625638631
337	0.6625162081
338	0.6624422828
339	0.6623775081
340	0.6622840512
341	0.6621480661
342	0.6620621741
343	0.6619387324
344	0.6618762842
345	0.6617787646
346	0.6616518905
347	0.6615946352
348	0.66145676
349	0.6614135322
350	0.6613607732
351	0.6612673792
352	0.6611362013
353	0.6610449037
354	0.6608928288
355	0.6607832786
356	0.6607093454
357	0.6606362465
358	0.6605301791
359	0.6604159594
360	0.6603293865
361	0.6602343079
362	0.660165037
363	0.6600996787
364	0.660022065
365	0.6599229922
366	0.6597731365
367	0.6597229175
368	0.6596378239
369	0.6595062441
370	0.6594239609
371	0.6593778509
372	0.6593386504
373	0.6592714359
374	0.6591602737
375	0.659124915
376	0.6590314006
377	0.6589550889
378	0.6588110271
379	0.6586743832
380	0.6586124346
381	0.658526131
382	0.658402317
383	0.6582769534
384	0.6582206811
385	0.6581398822
386	0.6580508523
387	0.6578975622
388	0.6577492421
389	0.6576878219
390	0.6576378644
391	0.6575843466
392	0.6575503703
393	0.6574622939
394	0.6574146289
395	0.6572846988
396	0.6572140994
397	0.657136895
398	0.6570995162
399	0.6570656511
400	0.6570162602
401	0.6568967307
402	0.6568282461
403	0.656756972
404	0.6567123908
405	0.6566513816
406	0.6564920423
407	0.656386281
408	0.6562931086
409	0.656146734
410	0.6560497155
411	0.6560193595
412	0.6559693245
413	0.6558856261
414	0.6558077416
415	0.6557380803
416	0.6556988818
417	0.6556665607
418	0.6555285245
419	0.655417199
420	0.655358542
421	0.6552296153
422	0.6551412893
423	0.6550132631
424	0.6548745206
425	0.6548287458
426	0.6546943036
427	0.6546638425
428	0.6546279392
429	0.6545314419
430	0.6544093805
431	0.6542992199
432	0.6542442502
433	0.65413954
434	0.6540374643
435	0.6539459989
436	0.6539074057
437	0.6538630168
438	0.6537895098
439	0.6537685235
440	0.653710023
441	0.6536299224
442	0.6535114795
443	0.6534148411
444	0.6533818267
445	0.6533268092
446	0.6532564375
447	0.6531559002
448	0.6531098025
449	0.6529898844
450	0.6529556899
451	0.6528183958
452	0.6526841935
453	0.6525237954
454	0.6524919235
455	0.6524382769
456	0.6523915702
457	0.6523543319
458	0.6522458672
459	0.652193038
460	0.6521649987
461	0.6521077802
462	0.6520188751
463	0.6519334102
464	0.6518223718
465	0.6517601709
466	0.6516463635
467	0.6515430427
468	0.6515110069
469	0.651422749
470	0.6513226716
471	0.6512083802
472	0.6511478391
473	0.6510638812
474	0.6510006649
475	0.6509790238
476	0.6509312275
477	0.6508740602
478	0.6507999194
479	0.6506863673
480	0.6506027961
481	0.6505640813
482	0.6504917884
483	0.6504083033
484	0.6503539303
485	0.6502323827
486	0.6501632851
487	0.6500380864
488	0.6499627919
489	0.6499209781
490	0.6498526855
491	0.6497411758
492	0.6496638161
493	0.6495840036
494	0.6494968659
495	0.6493954964
496	0.6493168232
497	0.6492376725
498	0.6491709736
499	0.6490983479
500	0.6489716479
501	0.6489162875
502	0.6488735965
503	0.6488280719
504	0.6487634974
505	0.6486497359
506	0.6485317557
507	0.6484725903
508	0.648403721
509	0.6483008657
510	0.6482177782
511	0.648064605
512	0.6480215738
513	0.6479435163
514	0.6478163273
515	0.6476695052
516	0.6475817553
517	0.6475420377
518	0.6474642582
519	0.6473139251
520	0.647218809
521	0.6471460394
522	0.6470629921
523	0.6469548072
524	0.6468900086
525	0.6468577938
526	0.6467772322
527	0.6466436369
528	0.6465410682
529	0.6464532799
530	0.6463665877
531	0.6462549847
532	0.6461546404
533	0.6460581979
534	0.6460070431
535	0.6459801642
536	0.6459239652
537	0.6458833478
538	0.6458410098
539	0.6457413796
540	0.6456329796
541	0.6455709303
542	0.6454492317
543	0.6453495818
544	0.6452887096
545	0.6452502522
546	0.6451822831
547	0.6450868674
548	0.6450576564
549	0.6449450886
550	0.6448908168
551	0.6448238622
552	0.6447808328
553	0.6447018379
554	0.6446700995
555	0.6445819386
556	0.6444539115
557	0.6443678956
558	0.64429407
559	0.6442706732
560	0.6441895198
561	0.6441510951
562	0.6440720942
563	0.6440482215
564	0.6439236327
565	0.6438083899
566	0.6436936196
567	0.6436441496
568	0.6435794901
569	0.6434843196
570	0.6433662536
571	0.6432628654
572	0.6431935851
573	0.643147028
574	0.6430170748
575	0.6429527638
576	0.6428960066
577	0.6427971638
578	0.6426559504
579	0.6425786705
580	0.6425074866
581	0.6424713556
582	0.6424065809
583	0.6423731088
584	0.6423257603
585	0.6422234657
586	0.6421427394
587	0.6420787817
588	0.6419673938
589	0.6418633932
590	0.6418309174
591	0.6417593566
592	0.6417218722
593	0.6415963206
594	0.6415663009
595	0.6415076345
596	0.6414707833
597	0.6414055624
598	0.6413258207
599	0.6412201008
600	0.6411410449
601	0.6410198873
602	0.6409386098
603	0.6408619141
604	0.6407425879
605	0.6406919523
606	0.640616665
607	0.6405447096
608	0.6404677134
609	0.6403556786
610	0.6402664737
611	0.6401874089
612	0.6401525873
613	0.6400706997
614	0.6399782899
615	0.6399528408
616	0.6398685295
617	0.6397690284
618	0.6396841126
619	0.6395606898
620	0.6394552075
621	0.6393470583
622	0.6392873984
623	0.6392679693
624	0.6391933958
625	0.6391413742
626	0.6390367431
627	0.6390198843
628	0.6389881189
629	0.6388544903
630	0.6387916484
631	0.6387044166
632	0.6386089627
633	0.6385553992
634	0.6385190912
635	0.6384252127
636	0.6382583515
637	0.6381759028
638	0.6381252802
639	0.6380011954
640	0.6379240409
641	0.6378555595
642	0.6378062102
643	0.6377614211
644	0.6376112728
645	0.6375545308
646	0.6374431835
647	0.6373743242
648	0.6373074969
649	0.637260576
650	0.6371741887
651	0.6371114889
652	0.6370225072
653	0.6369671638
654	0.6368723414
655	0.6367948404
656	0.6367561772
657	0.6366411048
658	0.636520312
659	0.6364266674
660	0.6363146277
661	0.6362383653
662	0.6362143428
663	0.6361323842
664	0.6360777504
665	0.6360201784
666	0.6359469228
667	0.6358534831
668	0.6357781314
669	0.6357122745
670	0.6356806531
671	0.6356173647
672	0.6355484852
673	0.6355107795
674	0.6354019507
675	0.6353587855
676	0.6352361626
677	0.6351867604
678	0.635129702
679	0.6350811815
680	0.634962811
681	0.6348868456
682	0.6348054822
683	0.6347744325
684	0.6346525659
685	0.634519264
686	0.6344853269
687	0.6343816436
688	0.6343292888
689	0.634218114
690	0.6341320188
691	0.6340354709
692	0.6338948159
693	0.6338206248
694	0.6337696043
695	0.6337165685
696	0.6336876731
697	0.6336272677
698	0.6336008571
699	0.6334911007
700	0.6334710189
701	0.6334381799
702	0.6333596116
703	0.6332202922
704	0.6331489681
705	0.6330312745
706	0.633000641
707	0.6329725079
708	0.6328843729
709	0.6328273946
710	0.6327524232
711	0.632722689
712	0.632677329
713	0.6326384555
714	0.6325530813
715	0.6324879095
716	0.6323832954
717	0.6323060896
718	0.6322198454
719	0.6321205115
720	0.6320534185
721	0.6319956697
722	0.6318674218
723	0.6318199955
724	0.6317967149
725	0.6316898195
726	0.6316382168
727	0.6316049622
728	0.6315495197
729	0.6314205517
730	0.6313302426
731	0.6312400059
732	0.6311781712
733	0.6310955247
734	0.6310651064
735	0.6309972495
736	0.6309258401
737	0.6308958015
738	0.6308288566
739	0.630774084
740	0.6307285365
741	0.6306729625
742	0.6306173352
743	0.630533884
744	0.6304414855
745	0.6303656283
746	0.6303379412
747	0.630226049
748	0.6301935841
749	0.6301140377
750	0.6300494781
751	0.6300087128
752	0.6299552176
753	0.6298869969
754	0.6298288731
755	0.6297905731
756	0.6297348235
757	0.6296835523
758	0.6295629053
759	0.629539251
760	0.6294379568
761	0.629405374
762	0.6293623507
763	0.6292489328
764	0.629129672
765	0.6290633108
766	0.6290218644
767	0.6289698349
768	0.6288979949
769	0.6287852971
770	0.628703931
771	0.6286798357
772	0.6285844477
773	0.6285206645
774	0.6284330475
775	0.6283826486
776	0.6283311084
777	0.6282788109
778	0.6281653227
779	0.6281295992
780	0.6280731142
781	0.6280532345
782	0.6279513989
783	0.627812154
784	0.6277126776
785	0.6276252028
786	0.6275635848
787	0.6274832941
788	0.6274195063
789	0.6273740962
790	0.6273040165
791	0.6272809982
792	0.6272381712
793	0.627148964
794	0.6271135759
795	0.627005516
796	0.6269754402
797	0.6269037278
798	0.6268464636
799	0.6267425675
800	0.6266667051
801	0.6265624369
802	0.6264745545
803	0.6263788189
804	0.6263302007
805	0.6262458382
806	0.6261528912
807	0.6260892497
808	0.6260516997
809	0.6260210426
810	0.6259575058
811	0.6258961753
812	0.6258537587
813	0.625815843
814	0.6257649347
815	0.6256325968
816	0.6255612774
817	0.625509323
818	0.6254854713
819	0.6254171469
820	0.6253123129
821	0.6252404595
822	0.6251929133
823	0.6251584559
824	0.6251416884
825	0.6250948111
826	0.6250216095
827	0.6248923268
828	0.624876352
829	0.6248553923
830	0.6247329868
831	0.6247086995
832	0.6246111682
833	0.6245794104
834	0.6244759572
835	0.6244640163
836	0.6244420503
837	0.6244017147
838	0.624325576
839	0.6242292269
840	0.6241640731
841	0.6241397699
842	0.6240188974
843	0.6239115622
844	0.6238607146
845	0.6237470691
846	0.623654794
847	0.6235988197
848	0.6235320498
849	0.6234645092
850	0.6234038878
851	0.6233167634
852	0.6232794083
853	0.6232079634
854	0.6231808397
855	0.6230512208
856	0.6230015884
857	0.6229551776
858	0.6228543532
859	0.6227405401
860	0.622682467
861	0.6226377395
862	0.6226048831
863	0.6225538084
864	0.6225282532
865	0.62246821
866	0.622413342
867	0.622386636
868	0.6222915282
869	0.6222316777
870	0.6221688349
871	0.6221438817
872	0.6220452281
873	0.6220153497
874	0.6219238045
875	0.6218081832
876	0.6217433968
877	0.6216605604
878	0.6216058343
879	0.6215224755
880	0.621467823
881	0.6214052611
882	0.621383494
883	0.6213442545
884	0.6212619698
885	0.6212169113
886	0.6211327304
887	0.6210867878
888	0.6210119066
889	0.6209673243
890	0.6209273967
891	0.620844228
892	0.6208192772
893	0.6207836448
894	0.6207447059
895	0.6207110768
896	0.6206363777
897	0.6205955296
898	0.6205656403
899	0.620529564
900	0.6204660405
901	0.6203954479
902	0.6203130613
903	0.6202267527
904	0.6201416085
905	0.6200942013
906	0.6200092594
907	0.6199221426
908	0.6198482896
909	0.6197907419
910	0.6197735544
911	0.6196905963
912	0.6196715215
913	0.6196165557
914	0.6195221923
915	0.6194343967
916	0.6194030128
917	0.6193242939
918	0.6192264955
919	0.6191744214
920	0.6190861623
921	0.6190200883
922	0.618971287
923	0.6188654652
924	0.6188381692
925	0.6187834665
926	0.6186775171
927	0.6185965019
928	0.6185224098
929	0.6184954238
930	0.6184519536
931	0.6184073134
932	0.6183116427
933	0.6181790131
934	0.6180962541
935	0.6180063087
936	0.6179506608
937	0.6178878198
938	0.6178518755
939	0.6178262534
940	0.6177390235
941	0.6176777204
942	0.617577386
943	0.6175205604
944	0.6174866633
945	0.6174104806
946	0.6173607384
947	0.6172543021
948	0.6171580721
949	0.6171020537
950	0.6170473807
951	0.6170232552
952	0.6169422669
953	0.6168601538
954	0.6167858663
955	0.6167428657
956	0.6166912674
957	0.6165917967
958	0.616537857
959	0.6165240883
960	0.6164344795
961	0.6163746367
962	0.616264917
963	0.6162233849
964	0.6161349221
965	0.6160481039
966	0.6159696871
967	0.6159380841
968	0.6158419092
969	0.6158277211
970	0.6158130963
971	0.6157462581
972	0.6157252764
973	0.6156187477
974	0.6155552341
975	0.6154846035
976	0.6154402675
977	0.6154119839
978	0.6153579492
979	0.6152811112
980	0.6152233887
981	0.6150930073
982	0.6150625509
983	0.614996059
984	0.6149114267
985	0.6148619191
986	0.6148282505
987	0.6147207783
988	0.6146448387
989	0.6145408283
990	0.6144885943
991	0.6144184388
992	0.6143959861
993	0.6143498774
994	0.6143300338
995	0.6142527563
996	0.6142235782
997	0.6141448434
998	0.6140805227
999	0.6140368678
